date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:06:12	1344/1344	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:06:14%20GMT	http://bapatv.live/play.php?stream=306	C:/My%20Web%20Sites/tv/bapatv.live/play4a88.html	(from http://bapatv.live/)
09:06:13	1350/1350	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:06:15%20GMT	http://bapatv.live/play.php?stream=303	C:/My%20Web%20Sites/tv/bapatv.live/playd2c9.html	(from http://bapatv.live/)
09:06:20	81044/81044	---M--	200	added ('OK')	image/png	etag:%2213c94-626b4924ae714%22	http://bapatv.live/assets/images/Star%20Jalsha1731406850.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Star%20Jalsha1731406850.png	(from http://bapatv.live/)
09:06:20	1346/1346	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:06:22%20GMT	http://bapatv.live/play.php?stream=340	C:/My%20Web%20Sites/tv/bapatv.live/play9313.html	(from http://bapatv.live/)
09:06:23	63312/63312	---M--	200	added ('OK')	image/png	etag:%22f750-626b49726e92b%22	http://bapatv.live/assets/images/Zee%20Bangla1731406932.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Zee%20Bangla1731406932.png	(from http://bapatv.live/)
09:06:23	1348/1348	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:06:25%20GMT	http://bapatv.live/play.php?stream=365	C:/My%20Web%20Sites/tv/bapatv.live/play1ef4.html	(from http://bapatv.live/)
09:06:26	81599/81599	---M--	200	added ('OK')	image/png	etag:%2213ebf-626b48f6b2147%22	http://bapatv.live/assets/images/Colors%20Bangla1731406802.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Colors%20Bangla1731406802.png	(from http://bapatv.live/)
09:06:27	1342/1342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:06:28%20GMT	http://bapatv.live/play.php?stream=317	C:/My%20Web%20Sites/tv/bapatv.live/play994c.html	(from http://bapatv.live/)
09:06:37	85607/85607	---M--	200	added ('OK')	image/png	etag:%2214e67-626c349b61143%22	http://bapatv.live/assets/images/Zee%20Bangla%20Cinema1731470057.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Zee%20Bangla%20Cinema1731470057.png	(from http://bapatv.live/)
09:06:37	1334/1334	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:06:39%20GMT	http://bapatv.live/play.php?stream=355	C:/My%20Web%20Sites/tv/bapatv.live/play0f21.html	(from http://bapatv.live/)
09:06:42	25279/25279	---M--	200	added ('OK')	image/png	etag:%2262bf-626c2eb443adc%22	http://bapatv.live/assets/images/Nick1731468472.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Nick1731468472.png	(from http://bapatv.live/)
09:06:42	91634/91634	---M--	200	added ('OK')	image/png	etag:%22165f2-626b4ca75cf92%22	http://bapatv.live/assets/images/Sony%20Aath1731407792.png	C:/My%20Web%20Sites/tv/bapatv.live/assets/images/Sony%20Aath1731407792.png	(from http://bapatv.live/)
09:06:42	1346/1346	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:06:43%20GMT	http://bapatv.live/play.php?stream=380	C:/My%20Web%20Sites/tv/bapatv.live/playec7d.html	(from http://bapatv.live/)
09:06:42	1354/1354	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2003:06:44%20GMT	http://bapatv.live/play.php?stream=326	C:/My%20Web%20Sites/tv/bapatv.live/playa6f0.html	(from http://bapatv.live/)
